name_clean,CPU_Cores
HLATYPING:FASTP,1
HLATYPING:MAJORITY_VOTE,1
HLATYPING:SORT_RESULTS,1
HLATYPING:ALT_ALIGN:BWA_MEM_ALIGN_ALT_POSTALT,6
HLATYPING:ALT_ALIGN:MARK_DUPLICATES,4
HLATYPING:ALT_ALIGN:SAMTOOLS_SORT_INDEX_BEFORE_SUBSET,4
HLATYPING:ALT_ALIGN:SAMTOOLS_SORT_INDEX_AFTER_SUBSET,4
HLATYPING:ALT_ALIGN:SUBSET_ALIGNMENT,1
HLATYPING:HLA_LA:RUN_HLALA,12
HLATYPING:KOURAMI:RUN_KOURAMI_ALIGN_EXTRACT,4
HLATYPING:KOURAMI:RUN_KOURAMI_JAR,1
HLATYPING:OPTITYPE:RUN_OPTITYPE,4
HLATYPING:OPTITYPE:BAM_TO_FASTQ,12
HLATYPING:POLYSOLVER:RUN_POLYSOLVER,8
HLATYPING:POLYSOLVER:BAM_TO_FASTQ,12
HLATYPING:POLYSOLVER:REALIGN_WITHOUT_ALT,1
HLATYPING:POLYSOLVER:SAMTOOLS_SORT_INDEX,4
